customer_id,first_name,last_name,age,email,phone_number,address,city,state,postal_code,country,account_balance,monthly_payment,contract_length,data_usage,voice_usage,text_usage,plan_type,device_type,device_brand,device_model,customer_since,last_payment_date,churned,customer_rating,customer_complaints,customer_satisfaction,customer_engagement,customer_lifetime_value,customer_segment,customer_referral,customer_loyalty
231,Nata,Bischoff,48,nbischoff6e@nhs.uk,925-769-6330,678 Tennessee Drive,Alcanena,Santarém,2380-015,Portugal,Euro,Ruble,23,32.51,23.46,40.15,family,tablet,Apple,Galaxy S10,10/2/2020,5/26/2020,false,3,8,10,0.11,Euro,high-value,true,false
232,Marcelle,Godney,47,mgodney6f@chronoengine.com,217-965-7193,98990 Mendota Road,Shimodate,,309-1127,Japan,Yen,Euro,14,75.85,89.27,905.91,postpaid,tablet,Motorola,V40 ThinQ,11/29/2019,3/27/2020,false,1,2,1,96.57,Koruna,high-value,true,true
233,Kakalina,Chester,57,kchester6g@europa.eu,428-191-0549,25 Blackbird Center,Mojorembun,,,Indonesia,Rupiah,Zloty,1,27.35,569.8,547.77,family,smartphone,Google,iPhone X,1/8/2021,2/18/2020,true,1,5,6,9.3,Ruble,high-value,true,true
234,Ruperta,Pautot,78,rpautot6h@dagondesign.com,414-806-9875,824 Fairview Park,Zili,,,China,Yuan Renminbi,Rial,15,42.6,74.13,859.07,prepaid,feature phone,Samsung,V40 ThinQ,12/20/2012,3/22/2021,false,5,0,9,75.49,Euro,high-value,true,false
235,May,Werendell,78,mwerendell6i@intel.com,773-511-4360,83492 Porter Parkway,Bandarbeyla,,,Somalia,Shilling,Dollar,16,36.75,88.42,610.05,postpaid,feature phone,Apple,V40 ThinQ,7/19/2018,5/25/2021,true,5,8,10,36.99,Yen,high-value,false,true
236,Lari,Hyam,61,lhyam6j@europa.eu,448-910-0453,1 Park Meadow Hill,Nizhniy Novgorod,,603098,Russia,Ruble,Ruble,9,66.27,48.52,257.61,family,smartphone,Samsung,Pixel 4,7/9/2016,4/2/2021,false,4,7,6,96.96,Yuan Renminbi,medium-value,true,false
237,Nadia,MacGuigan,31,nmacguigan6k@theglobeandmail.com,431-304-7947,22884 Banding Hill,Yuanlin,,,China,Yuan Renminbi,Real,23,38.77,895.44,149.33,family,feature phone,Google,iPhone X,12/2/2021,6/14/2021,true,3,2,10,8.44,Real,low-value,false,false
238,Violante,Strand,65,vstrand6l@who.int,409-445-7450,11 Holy Cross Way,Thị Trấn Ngọc Lặc,,,Vietnam,Dong,Yuan Renminbi,6,70.74,675.43,783.95,prepaid,tablet,Motorola,Galaxy S10,3/21/2015,11/30/2020,true,5,7,1,93.5,Peso,low-value,true,true
239,Zenia,Webborn,56,zwebborn6m@state.tx.us,905-521-9064,19691 Blue Bill Park Pass,Fentange,,L-5891,Luxembourg,Euro,Rupiah,4,77.63,814.1,626.94,family,smartphone,Apple,iPhone X,6/15/2010,8/24/2021,false,5,2,7,75.7,Yuan Renminbi,medium-value,false,true
240,Esmaria,Pittford,30,epittford6n@ow.ly,714-934-9013,028 Sugar Way,Põltsamaa,,,Estonia,Euro,Lira,16,5.95,781.63,40.24,postpaid,smartphone,Samsung,V40 ThinQ,11/11/2012,12/6/2020,false,1,3,4,20.51,Lempira,medium-value,true,true
241,Gabie,Merrall,30,gmerrall6o@china.com.cn,949-596-5221,1804 Eagan Road,El Arañado,,5947,Argentina,Peso,Euro,24,54.61,218.68,909.8,family,tablet,Samsung,Pixel 4,7/3/2013,11/20/2020,true,1,10,1,56.18,Yuan Renminbi,low-value,false,true
242,Tully,Tollmache,53,ttollmache6p@go.com,784-178-8883,226 Little Fleur Terrace,Sveg,Jämtland,842 93,Sweden,Krona,Yuan Renminbi,3,41.87,265.96,511.25,postpaid,smartphone,Google,Galaxy S10,7/18/2021,12/29/2021,false,1,7,2,84.49,Rupee,high-value,true,false
243,Gavrielle,Jannasch,77,gjannasch6q@hexun.com,586-346-8533,347 Kenwood Point,Berea,,4362,South Africa,Rand,Kwanza,5,92.53,119.09,378.7,postpaid,smartphone,Motorola,iPhone X,5/9/2012,4/30/2021,true,1,1,10,27.18,Shilling,low-value,true,false
244,Thomas,Ferson,64,tferson6r@biblegateway.com,601-790-3688,66684 Forest Run Junction,Wuluquele,,,China,Yuan Renminbi,Yuan Renminbi,21,9.37,907.25,407.34,postpaid,smartphone,Google,V40 ThinQ,8/11/2012,3/25/2021,true,4,10,6,62.34,Euro,low-value,true,false
245,Virginia,Mayor,26,vmayor6s@yale.edu,527-452-5070,51 Pine View Plaza,Mouhijärvi,,00171,Finland,Euro,Yuan Renminbi,2,88.57,301.66,433.94,postpaid,feature phone,Google,Galaxy S10,7/18/2014,8/9/2021,true,1,6,4,57.07,Dong,medium-value,true,false
246,Vin,Yaldren,50,vyaldren6t@nationalgeographic.com,452-365-4188,08685 Menomonie Alley,Xinglongchang,,,China,Yuan Renminbi,Dollar,2,22.69,834.35,511.47,family,feature phone,Apple,Pixel 4,12/26/2017,10/18/2020,true,4,0,4,10.72,Won,low-value,false,false
247,Gerhard,Gyse,28,ggyse6u@noaa.gov,952-364-4645,08 Delladonna Court,Baucau,,,East Timor,Dollar,Yuan Renminbi,19,84.12,372.34,216.75,prepaid,feature phone,Apple,iPhone X,12/3/2011,7/12/2021,false,1,7,3,37.56,Yen,medium-value,false,true
248,Anica,Rapp,78,arapp6v@prnewswire.com,433-706-0416,05 Red Cloud Plaza,Ustupo,,,Panama,Balboa,Peso,24,90.86,703.79,190.76,family,smartphone,Samsung,V40 ThinQ,8/18/2018,3/24/2021,false,1,9,7,47.55,Zloty,high-value,false,true
249,Barbabas,Davies,76,bdavies6w@foxnews.com,948-485-4945,46784 Welch Plaza,Youchou,,,China,Yuan Renminbi,Dirham,15,40.03,52.49,741.74,postpaid,tablet,Google,V40 ThinQ,8/10/2017,6/5/2020,true,3,8,5,70.6,Peso,high-value,false,false
250,Janel,Odgaard,49,jodgaard6x@symantec.com,735-999-1483,53564 Carberry Parkway,Sobral,,62000-000,Brazil,Real,Boliviano,24,36.81,758.03,764.32,prepaid,tablet,Motorola,V40 ThinQ,3/10/2015,2/4/2020,false,4,6,3,15.74,Franc,high-value,true,false
251,Killy,Benitez,63,kbenitez6y@imageshack.us,871-871-2789,34200 Havey Street,Līgatne,,,Latvia,Euro,Rupee,20,91.35,327.44,431.05,family,feature phone,LG,Pixel 4,10/1/2011,10/24/2020,false,5,2,3,43.67,Rupiah,low-value,false,true
252,Gayel,Jelf,56,gjelf6z@edublogs.org,974-507-9697,59015 Veith Drive,Ubaté,,250437,Colombia,Peso,Euro,21,59.58,982.22,69.03,prepaid,tablet,Apple,iPhone X,6/2/2012,12/30/2020,false,5,9,3,12.52,Rupiah,low-value,true,false
253,Guillermo,Junkin,46,gjunkin70@booking.com,432-263-9229,47713 Graedel Junction,Capalayan,,8404,Philippines,Peso,Rupiah,21,22.02,138.13,7.65,postpaid,smartphone,Motorola,iPhone X,10/7/2017,12/26/2020,false,4,8,1,78.3,Rupiah,high-value,false,false
254,Sasha,Raittie,22,sraittie71@uol.com.br,936-949-4767,5220 Pierstorff Point,Čoka,,,Serbia,Dinar,Rial,12,74.03,96.83,621.12,postpaid,smartphone,LG,Galaxy S10,6/18/2019,5/8/2021,false,5,8,8,93.03,Quetzal,medium-value,true,false
255,Carine,Musto,33,cmusto72@csmonitor.com,278-849-5237,07403 Barby Plaza,Argir,,165,Faroe Islands,Krone,Yuan Renminbi,5,26.45,25.72,333.87,postpaid,feature phone,Motorola,Galaxy S10,2/26/2011,5/22/2020,false,1,0,10,22.19,Yuan Renminbi,high-value,true,false
256,Melli,Massingberd,62,mmassingberd73@microsoft.com,269-578-8230,8907 Erie Circle,Vokhaïkó,,,Greece,Euro,Yuan Renminbi,21,34.0,531.15,654.12,family,smartphone,Motorola,iPhone X,11/20/2021,1/12/2021,false,3,10,9,26.57,Rupee,medium-value,true,true
257,Alvira,Dady,39,adady74@mediafire.com,431-505-3695,98657 Village Parkway,Guataquí,,252827,Colombia,Peso,Dollar,19,12.27,801.79,701.76,prepaid,feature phone,Samsung,Galaxy S10,7/6/2017,8/28/2021,false,3,4,9,72.76,Euro,low-value,false,false
258,Axe,Spaule,37,aspaule75@cloudflare.com,520-207-4732,62222 Mendota Crossing,Pingtian,,,China,Yuan Renminbi,Rupee,5,5.33,973.03,870.73,family,feature phone,Google,Galaxy S10,11/29/2014,8/27/2020,true,1,8,6,28.98,Krona,low-value,true,true
259,Camila,Dawbury,50,cdawbury76@dedecms.com,356-746-6779,741 Tennyson Place,Żoliborz,,05-094,Poland,Zloty,Rupiah,20,66.91,447.79,568.55,prepaid,feature phone,LG,iPhone X,1/11/2017,9/18/2021,true,1,1,7,29.63,Naira,high-value,false,false
260,Annamarie,Mold,63,amold77@umn.edu,555-987-0783,6 Caliangt Street,"Las Vegas, Santa Barbara",,,Honduras,Lempira,Dirham,11,66.12,555.58,672.17,prepaid,smartphone,Apple,Pixel 4,2/1/2020,9/29/2021,true,2,1,8,25.99,Yuan Renminbi,medium-value,false,false
261,Nollie,Baumler,23,nbaumler78@pcworld.com,557-882-1217,38 Laurel Place,Kovači,,,Bosnia and Herzegovina,Marka,Peso,7,3.12,942.18,425.27,postpaid,tablet,Google,Galaxy S10,8/16/2019,7/23/2020,true,1,1,2,73.95,Real,high-value,false,true
262,Giustino,Tabourier,44,gtabourier79@cargocollective.com,492-209-8301,74 Messerschmidt Center,Montpellier,Languedoc-Roussillon,34964 CEDEX 2,France,Euro,Rupiah,14,71.42,541.67,197.32,prepaid,smartphone,Apple,V40 ThinQ,6/11/2017,9/16/2020,true,5,6,10,8.67,Yuan Renminbi,high-value,true,false
263,Gnni,Coste,28,gcoste7a@cloudflare.com,529-589-1576,8496 Eastwood Point,Ambarawa,,,Indonesia,Rupiah,Shilling,14,80.73,828.51,774.72,postpaid,smartphone,Samsung,Galaxy S10,4/25/2016,3/9/2021,false,3,8,7,10.11,Dram,medium-value,false,true
264,Rena,Gyenes,65,rgyenes7b@posterous.com,482-380-0240,8 Myrtle Road,Chowki Jamali,,80401,Pakistan,Rupee,Litas,16,58.72,610.94,25.97,family,feature phone,Motorola,iPhone X,2/24/2015,12/15/2021,false,5,1,8,60.46,Yuan Renminbi,low-value,false,true
265,Paolo,Worstall,41,pworstall7c@virginia.edu,939-323-6162,6 Arrowood Pass,Seso,,,Indonesia,Rupiah,Yuan Renminbi,7,82.33,47.98,253.5,family,feature phone,Google,V40 ThinQ,3/15/2020,1/3/2020,true,5,8,6,60.33,Dollar,low-value,false,false
266,Julianna,Titmarsh,51,jtitmarsh7d@ask.com,916-114-8722,45726 Novick Park,Xinglongjie,,,China,Yuan Renminbi,Euro,11,58.98,140.0,92.41,prepaid,tablet,Apple,iPhone X,1/12/2012,4/20/2020,true,3,1,6,72.48,Yuan Renminbi,medium-value,false,true
267,Minda,Wigelsworth,69,mwigelsworth7e@amazon.de,669-297-2522,83778 Debra Crossing,Bakunase,,,Indonesia,Rupiah,Euro,1,35.34,84.56,819.79,family,tablet,Samsung,Pixel 4,6/7/2017,2/8/2020,false,4,7,10,62.63,Shekel,low-value,true,true
268,Thorndike,Elington,48,telington7f@google.ru,423-635-8487,70 Fulton Lane,Johnson City,Tennessee,37605,United States,Dollar,Peso,12,52.84,313.92,708.76,postpaid,smartphone,Samsung,iPhone X,11/30/2015,11/17/2021,true,4,6,10,25.47,Yuan Renminbi,low-value,true,true
269,Robin,Porkiss,27,rporkiss7g@marriott.com,757-103-5880,88147 Fairview Parkway,Sumberagung,,,Indonesia,Rupiah,Yuan Renminbi,22,35.92,689.34,463.51,prepaid,tablet,Google,Pixel 4,5/9/2010,7/21/2020,true,3,1,7,18.97,Peso,low-value,false,true
270,Junette,Blanchflower,19,jblanchflower7h@mail.ru,219-389-3839,3116 Summit Court,Oenam,,,Indonesia,Rupiah,Peso,23,18.1,311.57,244.91,postpaid,feature phone,Apple,Pixel 4,4/10/2017,12/26/2021,false,5,2,5,42.25,Ruble,low-value,true,true
271,Tressa,Axby,53,taxby7i@amazon.co.jp,424-549-7031,584 Cambridge Park,Capellanía,,,Panama,Balboa,Euro,9,10.08,363.82,762.08,prepaid,feature phone,LG,V40 ThinQ,7/21/2020,6/18/2021,false,2,7,6,12.49,Peso,medium-value,true,true
272,Marcos,Moncrieffe,25,mmoncrieffe7j@netvibes.com,667-442-7454,17 Westend Terrace,Suqu,,,China,Yuan Renminbi,Krona,11,39.02,849.21,263.36,family,tablet,LG,Galaxy S10,5/11/2010,12/21/2021,false,1,9,2,62.86,Yuan Renminbi,low-value,true,false
273,Pancho,Eannetta,52,peannetta7k@springer.com,659-285-3412,23352 Arrowood Parkway,Thị Trấn Ngải Giao,,,Vietnam,Dong,Yuan Renminbi,22,93.9,405.45,107.48,prepaid,tablet,Google,iPhone X,2/13/2013,11/30/2021,false,1,2,2,78.51,Rupiah,high-value,true,false
274,Jada,Upham,22,jupham7l@businessinsider.com,786-384-4563,62234 Summit Avenue,Balaklava,,,Ukraine,Hryvnia,Tenge,19,36.37,209.64,135.57,prepaid,tablet,Motorola,iPhone X,8/24/2013,8/30/2021,false,4,1,2,65.97,Rupiah,medium-value,false,true
275,Morgan,Wogden,19,mwogden7m@moonfruit.com,158-631-4316,8 Miller Parkway,Jagdaqi,,,China,Yuan Renminbi,Sol,13,90.04,403.58,801.91,family,feature phone,LG,Galaxy S10,4/28/2011,4/8/2021,false,2,3,6,79.09,Real,medium-value,false,false
276,Paten,Iston,25,piston7n@usa.gov,913-524-8422,54501 Leroy Hill,Zargarān,,,Afghanistan,Afghani,Ruble,1,86.79,716.8,793.6,family,feature phone,LG,V40 ThinQ,11/18/2017,3/31/2021,true,1,9,3,1.7,Euro,medium-value,false,true
277,Inesita,Fenwick,58,ifenwick7o@wikispaces.com,134-538-1952,76097 Springview Junction,Alto Río Senguer,,9033,Argentina,Peso,Pound,4,21.63,749.89,880.3,postpaid,tablet,Samsung,Galaxy S10,4/17/2010,7/21/2021,true,4,6,5,74.81,Som,medium-value,true,true
278,Francene,Nussen,72,fnussen7p@1688.com,255-911-1049,1 Eastwood Circle,Quilo-quilo,,4224,Philippines,Peso,Yuan Renminbi,15,9.36,525.52,186.51,postpaid,feature phone,Google,Pixel 4,9/26/2017,2/24/2020,true,5,1,3,48.26,Peso,medium-value,true,true
279,Ed,Linguard,68,elinguard7q@macromedia.com,693-992-2291,78 School Park,Niort,Poitou-Charentes,79031 CEDEX 9,France,Euro,Krona,12,52.35,139.44,8.32,prepaid,feature phone,Motorola,Pixel 4,3/27/2020,3/19/2020,true,3,7,6,21.11,Naira,low-value,true,false
280,Benny,Eldrett,19,beldrett7r@oaic.gov.au,824-726-0182,8662 Loomis Circle,Outeirô,Porto,4785-035,Portugal,Euro,Euro,15,76.03,208.87,341.02,postpaid,tablet,Motorola,Galaxy S10,1/27/2019,12/20/2020,false,3,3,10,87.55,Tugrik,medium-value,false,true
281,Andre,Garlinge,66,agarlinge7s@about.com,295-309-4015,1 Clyde Gallagher Parkway,Wolowona,,,Indonesia,Rupiah,Rupiah,9,63.66,552.03,777.76,postpaid,tablet,Samsung,Pixel 4,4/11/2019,2/14/2020,false,3,0,1,15.82,Rupiah,high-value,true,false
282,Jenilee,Arpur,37,jarpur7t@springer.com,619-379-6994,95 Surrey Point,Nha Trang,,,Vietnam,Dong,Rupiah,11,7.51,658.98,720.88,postpaid,tablet,Apple,Pixel 4,5/24/2013,2/19/2021,false,5,3,8,67.7,Yuan Renminbi,medium-value,true,true
283,Baron,Medlar,56,bmedlar7u@forbes.com,649-954-1127,0711 Coleman Road,Sukaharja,,,Indonesia,Rupiah,Euro,8,33.99,819.23,12.92,postpaid,feature phone,LG,iPhone X,11/22/2015,10/4/2021,false,3,0,8,74.59,Som,low-value,false,true
284,Freddie,Pyzer,64,fpyzer7v@marketwatch.com,730-898-2227,238 Loftsgordon Terrace,Calomboyan,,4312,Philippines,Peso,Rupiah,10,57.29,937.21,757.41,postpaid,feature phone,Google,Pixel 4,11/3/2010,9/24/2020,true,2,5,8,22.61,Ringgit,high-value,false,true
285,Matthus,Prenty,42,mprenty7w@sina.com.cn,477-462-2193,2928 Superior Trail,Fonte da Vaca,Setúbal,2955-229,Portugal,Euro,Rupiah,17,53.49,168.68,323.44,family,tablet,Apple,Galaxy S10,2/6/2012,7/6/2020,false,4,4,5,72.56,Balboa,medium-value,false,false
286,Theodosia,Bampton,57,tbampton7x@123-reg.co.uk,861-749-9870,0762 Alpine Court,Trieste,Friuli-Venezia Giulia,34141,Italy,Euro,Rupiah,8,40.13,135.13,767.18,postpaid,feature phone,Samsung,iPhone X,7/24/2017,3/11/2020,true,3,10,7,18.54,Franc,medium-value,true,true
287,Terri,Thunnercliff,55,tthunnercliff7y@census.gov,925-489-9908,5 Hoard Center,Jeziorzany,,21-146,Poland,Zloty,Real,15,33.24,608.32,426.86,family,feature phone,LG,Galaxy S10,12/6/2019,5/6/2021,true,1,0,5,70.86,Kwacha,high-value,true,false
288,Frankie,Backs,78,fbacks7z@jimdo.com,990-581-2381,966 Warrior Trail,Verkhniy Lomov,,442130,Russia,Ruble,Yuan Renminbi,6,68.72,688.78,2.03,postpaid,smartphone,Apple,Pixel 4,12/20/2011,1/7/2020,true,5,8,6,85.27,Yuan Renminbi,medium-value,true,false
289,Merridie,Ivanchin,35,mivanchin80@ifeng.com,618-470-1219,400 5th Hill,Kangani,,,Comoros,Franc,Rupiah,15,77.95,395.2,965.05,family,smartphone,Motorola,Galaxy S10,12/15/2010,3/4/2021,true,3,3,9,4.41,Yuan Renminbi,low-value,true,true
290,Giacopo,Whistance,57,gwhistance81@chron.com,288-910-1594,77135 Monument Trail,Chumphon Buri,,71180,Thailand,Baht,Shilling,10,72.52,748.69,452.17,family,tablet,Motorola,Galaxy S10,8/18/2016,7/13/2021,true,1,5,9,27.96,Koruna,medium-value,true,true
291,Dillon,Scargill,80,dscargill82@privacy.gov.au,462-420-2459,53 Bunting Park,Danyang,,,China,Yuan Renminbi,Ruble,13,72.1,997.95,424.93,postpaid,tablet,LG,V40 ThinQ,6/11/2015,4/11/2021,true,2,9,6,77.72,Yuan Renminbi,low-value,true,true
292,Corena,Armstead,59,carmstead83@bloglovin.com,570-607-7792,0653 West Road,Zahvizdya,,,Ukraine,Hryvnia,Rupiah,15,52.54,413.11,458.26,prepaid,smartphone,Google,iPhone X,8/1/2013,12/23/2020,false,1,5,8,84.16,Euro,low-value,false,false
293,Maximilian,Czajkowska,62,mczajkowska84@kickstarter.com,119-192-7397,555 Kings Trail,Novonukutskiy,,450049,Russia,Ruble,Rupiah,9,34.39,816.11,806.42,family,tablet,Samsung,iPhone X,11/4/2011,11/20/2021,true,5,0,9,38.87,Rupiah,high-value,false,true
294,Roselle,Bursnell,72,rbursnell85@ow.ly,789-249-0004,591 Erie Circle,Gnojnik,,32-864,Poland,Zloty,Euro,6,69.8,446.37,661.18,postpaid,feature phone,Google,iPhone X,8/18/2010,12/30/2021,false,5,0,1,80.03,Dram,medium-value,false,true
295,Kayle,Soares,74,ksoares86@wikipedia.org,655-298-5329,784 Lakeland Way,Nancy,Lorraine,54076 CEDEX,France,Euro,Riels,18,57.04,642.34,496.4,postpaid,tablet,Motorola,V40 ThinQ,2/25/2018,8/31/2020,false,5,8,10,95.68,Hryvnia,low-value,true,false
296,Salomone,Billiard,36,sbilliard87@bbc.co.uk,298-762-1328,93 Clove Parkway,Krimpen aan den IJssel,Provincie Zuid-Holland,2924,Netherlands,Euro,Rupiah,7,90.63,31.31,385.35,postpaid,smartphone,LG,Galaxy S10,9/2/2020,7/13/2021,false,4,1,2,34.65,Zloty,medium-value,true,false
297,Baird,Faloon,52,bfaloon88@baidu.com,150-944-2406,46 Mariners Cove Center,Périgueux,Aquitaine,24004 CEDEX,France,Euro,Peso,3,94.71,828.05,340.01,family,smartphone,Samsung,Galaxy S10,11/18/2012,10/6/2020,false,1,0,5,7.22,Rupiah,low-value,false,true
298,Tamiko,Eyes,43,teyes89@webmd.com,520-185-6041,417 Waubesa Park,Melbourne,Victoria,8383,Australia,Dollar,Euro,12,73.87,772.05,678.18,postpaid,smartphone,Google,iPhone X,3/26/2015,12/11/2020,false,2,5,3,66.2,Rupiah,high-value,false,false
299,Verene,Macguire,44,vmacguire8a@patch.com,145-227-3258,3 Homewood Court,Caidian,,,China,Yuan Renminbi,Shekel,3,30.37,371.65,942.95,postpaid,smartphone,Google,V40 ThinQ,9/8/2013,8/2/2021,false,4,10,1,75.38,Peso,medium-value,false,true
300,Rosene,Allinson,53,rallinson8b@jugem.jp,739-146-2677,71654 Marquette Circle,Néa Tríglia,,,Greece,Euro,Dollar,7,10.4,867.26,841.39,prepaid,smartphone,Google,Galaxy S10,9/28/2011,3/18/2020,true,5,6,1,15.54,Euro,medium-value,true,false
301,Kelila,Beech,34,kbeech8c@vkontakte.ru,890-904-6589,3691 Havey Way,Staré Město,,788 32,Czech Republic,Koruna,Peso,5,7.48,819.71,435.84,postpaid,feature phone,Samsung,Pixel 4,9/12/2020,3/2/2020,false,3,3,3,47.25,Yuan Renminbi,low-value,false,false
302,Abraham,Toombs,67,atoombs8d@icio.us,765-782-7934,524 Shelley Pass,Pęczniew,,99-235,Poland,Zloty,Peso,23,25.63,994.99,802.94,postpaid,tablet,LG,iPhone X,9/29/2013,10/23/2020,false,5,6,10,69.83,Zloty,high-value,false,false
303,Thornton,Smitheram,46,tsmitheram8e@nasa.gov,414-627-4083,579 Hanson Drive,Kosakowo,,81-198,Poland,Zloty,Yuan Renminbi,3,91.57,893.97,652.06,prepaid,smartphone,LG,V40 ThinQ,11/10/2013,7/14/2021,false,4,2,6,60.24,Yen,low-value,true,false
304,Grace,Sebborn,84,gsebborn8f@slate.com,419-521-4692,83271 Sauthoff Parkway,Cantagallo,,135067,Colombia,Peso,Rupiah,6,68.14,804.38,25.16,family,smartphone,LG,Galaxy S10,6/2/2021,10/14/2020,true,3,4,8,38.04,Real,low-value,true,true
305,Chrysler,Nudde,53,cnudde8g@time.com,792-294-6716,80 Donald Alley,Kudang,,,Indonesia,Rupiah,Zloty,20,42.99,155.91,16.06,postpaid,tablet,LG,V40 ThinQ,1/7/2020,8/23/2020,false,5,8,7,19.0,Peso,high-value,true,false
306,Jessa,Brazelton,72,jbrazelton8h@google.co.jp,152-325-0698,6017 Lakeland Road,Qiaoyi,,,China,Yuan Renminbi,Rupiah,7,58.4,211.53,498.38,prepaid,tablet,Google,Pixel 4,2/6/2019,6/18/2021,false,2,3,5,32.93,Dollar,low-value,false,false
307,Karlene,Durrant,32,kdurrant8i@fc2.com,412-829-0747,409 Texas Lane,Barcarena,,68445-000,Brazil,Real,Krona,1,18.93,687.23,979.7,family,feature phone,Apple,V40 ThinQ,7/4/2018,3/26/2020,true,5,10,6,39.07,Zloty,high-value,false,true
308,Artie,Ickowicz,80,aickowicz8j@smh.com.au,518-741-6037,87 Erie Center,São Gabriel da Cachoeira,,69750-000,Brazil,Real,Rupiah,6,52.11,507.61,401.84,family,tablet,LG,Galaxy S10,8/27/2012,10/6/2021,false,4,8,9,9.72,Afghani,medium-value,false,true
309,Tawnya,Vosper,20,tvosper8k@reference.com,828-359-0477,0 Fieldstone Lane,Novorozhdestvenskaya,,186445,Russia,Ruble,Yuan Renminbi,7,94.41,702.71,757.53,prepaid,tablet,Motorola,iPhone X,1/22/2018,3/24/2021,false,4,10,2,80.0,Dirham,high-value,true,true
310,Sapphira,Comettoi,37,scomettoi8l@weather.com,828-384-8854,712 Gerald Avenue,Datagon,,3605,Philippines,Peso,Rial,16,17.5,846.51,520.4,family,feature phone,Samsung,iPhone X,12/6/2021,2/1/2020,false,1,8,4,15.7,Yuan Renminbi,low-value,true,true
311,Flossie,Jenik,64,fjenik8m@purevolume.com,795-118-9731,0 Knutson Point,Le Mans,Pays de la Loire,72015 CEDEX 2,France,Euro,Rial,19,46.93,776.48,186.94,family,tablet,Motorola,Pixel 4,10/7/2018,12/16/2020,false,1,0,3,14.72,Krona,medium-value,false,true
312,Zilvia,Fearns,79,zfearns8n@dedecms.com,928-239-2943,7002 Heath Drive,Toroy,,,Indonesia,Rupiah,Zloty,14,18.77,100.21,872.46,prepaid,feature phone,Apple,Pixel 4,11/10/2010,1/20/2021,true,4,2,2,97.06,Yuan Renminbi,low-value,false,true
313,Francklyn,Asch,58,fasch8o@techcrunch.com,607-210-5649,7 6th Center,Peresvet,,141364,Russia,Ruble,Zloty,22,55.99,564.98,530.33,prepaid,smartphone,Apple,Pixel 4,9/5/2012,5/31/2021,true,1,0,6,56.32,Ruble,medium-value,true,false
314,Adrian,Webben,19,awebben8p@intel.com,193-569-7942,65141 Colorado Court,Rechka,,,Ukraine,Hryvnia,Peso,10,27.41,305.65,942.4,postpaid,feature phone,Motorola,Galaxy S10,5/10/2019,11/29/2020,false,3,2,4,85.1,Zloty,low-value,false,false
315,Stinky,Laslett,29,slaslett8q@berkeley.edu,496-104-8268,32061 Graceland Place,Yandian,,,China,Yuan Renminbi,Rupiah,8,97.15,404.45,118.88,postpaid,smartphone,Samsung,Pixel 4,6/24/2013,9/2/2021,true,1,6,7,20.04,Ruble,medium-value,true,false
316,Gorden,Cawthera,67,gcawthera8r@mtv.com,386-587-6038,37290 Barnett Pass,Langgen,,,Indonesia,Rupiah,Shilling,12,33.83,730.26,404.52,prepaid,smartphone,Apple,iPhone X,9/5/2019,5/4/2021,true,3,4,5,74.23,Yuan Renminbi,high-value,false,false
317,Baron,Dradey,85,bdradey8s@thetimes.co.uk,933-739-9044,02363 Gina Alley,Kuching,Sarawak,93762,Malaysia,Ringgit,Yuan Renminbi,7,4.93,588.31,122.29,family,tablet,Samsung,V40 ThinQ,12/7/2016,5/19/2020,true,2,6,5,74.2,Euro,low-value,true,false
318,Upton,Balleine,41,uballeine8t@dropbox.com,956-436-0851,697 Holy Cross Plaza,La Viña,,4424,Argentina,Peso,Ruble,15,24.76,869.72,682.42,family,tablet,LG,V40 ThinQ,8/26/2016,2/8/2020,true,4,3,10,72.07,Euro,medium-value,true,true
319,Patty,Lingfoot,64,plingfoot8u@businessweek.com,505-274-2823,6 Superior Junction,Daji,,,China,Yuan Renminbi,Yuan Renminbi,8,98.22,303.66,320.55,prepaid,tablet,Motorola,Pixel 4,8/8/2020,5/30/2021,false,1,10,6,92.99,Yuan Renminbi,medium-value,true,true
320,Tallie,Mullarkey,23,tmullarkey8v@paypal.com,883-333-0084,0749 West Trail,Atalaia,,87630-000,Brazil,Real,Yuan Renminbi,12,44.98,218.04,650.36,prepaid,smartphone,Samsung,Galaxy S10,10/2/2011,11/19/2021,false,5,5,8,29.61,Dollar,low-value,false,false
321,Jeanelle,McQuarrie,57,jmcquarrie8w@elegantthemes.com,932-217-3447,9 Mayfield Crossing,Tuusula,,04380,Finland,Euro,Euro,8,38.22,567.41,151.23,prepaid,feature phone,Google,V40 ThinQ,7/29/2019,9/24/2020,false,2,10,2,45.54,Ruble,medium-value,true,false
322,Ross,Geddis,69,rgeddis8x@ucoz.com,315-695-8111,2743 Northland Park,Karangsembung,,,Indonesia,Rupiah,Yuan Renminbi,13,4.77,420.07,84.81,prepaid,smartphone,LG,Galaxy S10,12/9/2016,9/10/2020,false,3,7,6,26.42,Yuan Renminbi,low-value,true,true
323,Dagny,O'Canavan,23,docanavan8y@jimdo.com,301-217-8675,4500 Golden Leaf Place,Śmiłowo,,64-810,Poland,Zloty,Sol,21,74.99,69.74,686.15,family,tablet,Apple,iPhone X,3/8/2016,11/19/2020,false,4,1,7,65.95,Euro,medium-value,false,true
